기준 연월,지역 구분,평균기온(℃),강수량(mm),평균상대습도(%),평균해면기압(hPa),이슬점온도(℃),평균운량(1/10),일조시간(hr),최심신적설(cm),평균풍속(m/s)
201701,제주도지역,7.1,49.9,66.5,1024.5,1,,133,,2.8
201701,제주지역,7.1,49.9,66.5,1024.5,1,,133,,2.8
201701,서귀포지역,7.5,49,67,1023.5,1.5,,184.2,,1.8
201701,성산지역,6.1,55.6,66,1024.3,0,0,163.4,,3.5
201701,고산지역,6.5,19.6,69,1024.9,1.1,,133.3,,8.9
201702,제주도지역,7.4,60.5,60,1023.2,0.2,,170.3,,2.9
201702,제주지역,7.4,60.5,60,1023.2,0.2,,170.3,,2.9
201702,서귀포지역,7.9,81.8,59,1022.2,0.1,,194.6,,1.9
201702,성산지역,6,86.9,63,1023,0.8,0,177.6,,3.8
201702,고산지역,6.4,39.6,67,1023.5,0.6,,177,,10
201703,제주도지역,10.1,42.3,59.5,1019.6,2,,191,,2.6
201703,제주지역,10.1,42.3,59.5,1019.6,2,,191,,2.6
201703,서귀포지역,10.3,36.3,59,1018.9,2,,214.2,,1.8
201703,성산지역,9.1,60.4,62,1019.4,1.7,0,201.7,,3.3
201703,고산지역,9.4,34.2,65,1019.7,2.7,,193.9,,7.2
201704,제주도지역,15.7,137,67.5,1014,8.8,,194.9,,2.4
201704,제주지역,15.7,137,67.5,1014,8.8,,194.9,,2.4
201704,서귀포지역,15.7,222.5,71,1013.6,9.5,,181,,1.7
201704,성산지역,15.1,106.7,68,1013.8,8.5,0,208.7,,3.4
201704,고산지역,14.1,85.1,79,1014.1,10,,195.2,,5.9
201705,제주도지역,19.4,48.9,69,1013.4,12.7,,250.6,,2.1
201705,제주지역,19.4,48.9,69,1013.4,12.7,,250.6,,2.1
201705,서귀포지역,19.2,59.2,74,1013.1,13.9,,244.7,,1.5
201705,성산지역,18.5,66.4,70,1013.3,12,0,247.6,,2.6
201705,고산지역,17.8,31.1,81,1013.4,14.1,,243.2,,4.8
201706,제주도지역,22.1,154.1,78.5,1009,17.8,,177.3,,2
201706,제주지역,22.1,154.1,78.5,1009,17.8,,177.3,,2
201706,서귀포지역,22.1,247.4,80,1008.7,18.2,,177,,1.5
201706,성산지역,21.7,141.2,76,1008.9,16.6,0,180.5,,2.6
201706,고산지역,20.8,114.8,88,1009,18.5,,180.1,,3.9
201707,제주도지역,28.4,43.5,85.5,1008.6,25.4,,196.1,,2.3
201707,제주지역,28.4,43.5,85.5,1008.6,25.4,,196.1,,2.3
201707,서귀포지역,27.5,51.8,95,1008.6,26.5,,183.4,,1.8
201707,성산지역,27.5,427.5,87,1008.6,25,0,180.9,,3
201707,고산지역,27.4,23.1,95,1008.6,26.5,,203.5,,4.6
201708,제주도지역,28.5,195.7,79,1007.2,24.1,,241,,2.3
201708,제주지역,28.5,195.7,79,1007.2,24.1,,241,,2.3
201708,서귀포지역,28.2,231.8,84,1006.9,24.9,,244.6,,1.8
201708,성산지역,27.5,437.3,79,1007.2,23.3,0,233.1,,2.8
201708,고산지역,27.6,279.7,84,1007.1,24.4,,271.4,,5.3
201709,제주도지역,24.1,93.1,73.5,1011.9,18.8,,148.1,,2.5
201709,제주지역,24.1,93.1,73.5,1011.9,18.8,,148.1,,2.5
201709,서귀포지역,24.2,102.8,76,1011.4,19.4,,155.2,,2.1
201709,성산지역,23.5,98.3,73,1011.9,18.1,0,159.8,,3.2
201709,고산지역,23.3,58.3,79,1011.8,19.3,,154.2,,5.3
201710,제주도지역,19.6,196.7,74,1018.6,14.5,,153.3,,2.8
201710,제주지역,19.6,196.7,74,1018.6,14.5,,153.3,,2.8
201710,서귀포지역,19.8,231.4,76,1017.9,15.2,,173.6,,2.3
201710,성산지역,18.9,389.1,74,1018.6,13.9,0,160.2,,3.6
201710,고산지역,18.7,152.4,80,1018.5,15,,178,,6.2
201711,제주도지역,13.2,13,65,1022.3,6.4,,166.7,,2.2
201711,제주지역,13.2,13,65,1022.3,6.4,,166.7,,2.2
201711,서귀포지역,13.8,6.7,66,1021.4,7.1,,187.3,,1.4
201711,성산지역,11.7,16.5,66,1022.4,5.3,0,182.9,,2.7
201711,고산지역,12.7,6.7,72,1022.5,7.6,,178.8,,6.9
201712,제주도지역,7.3,19.4,61,1025.4,0.1,,130.6,,2.8
201712,제주지역,7.3,19.4,61,1025.4,0.1,,130.6,,2.8
201712,서귀포지역,7.3,13.3,61,1024.6,0.1,,184,,1.6
201712,성산지역,5.8,31.8,63,1025.4,0.8,0,159.1,,2.7
201712,고산지역,7.2,16.7,67,1025.5,1.3,,121.6,,9.1
201801,제주도지역,5.4,60.9,68,1023.2,0.2,0,118.6,,2.7
201801,제주지역,4.9,58,67,1024.2,0.9,7.7,73.8,5.5,3.8
201801,서귀포지역,5.9,63.7,69,1022.2,0.5,0,163.4,,1.6
201801,성산지역,4,102.4,68,1023.3,1.6,0,133.9,,3
201801,고산지역,4.9,47.7,73,1023.3,0.2,0,111.6,,9.2
201802,제주도지역,5.9,48.6,62,1023.1,1.1,0,135.2,,2.8
201802,제주지역,5.5,86.6,60,1023.8,2,6.2,122.2,8.8,3.7
201802,서귀포지역,6.3,10.5,64,1022.3,0.2,0,148.1,,1.8
201802,성산지역,4.7,125.7,62,1022.9,2.4,0,140.6,,3.2
201802,고산지역,5.5,75,66,1023.1,0,0,137.9,,8.6
201803,제주도지역,11.6,134.8,75.5,1019.1,7.1,0,191.8,,2.6
201803,제주지역,11.4,118,72,1020,6.2,4.8,190.9,,3
201803,서귀포지역,11.8,151.6,79,1018.1,7.9,0,192.7,,2.1
201803,성산지역,10.6,179.5,77,1019.8,6.4,0,189.8,,3.4
201803,고산지역,11,101.2,84,1019.4,8.2,0,193.3,,6
201804,제주도지역,15.9,212.3,72.5,1015.9,10.3,0,197.5,,2.3
201804,제주지역,15.9,112.5,68,1016.3,9.5,5.2,205.6,,2.9
201804,서귀포지역,15.8,312,77,1015.5,11,0,189.3,,1.6
201804,성산지역,15,234.1,74,1016.3,9.9,0,211.5,,3.5
201804,고산지역,15.1,175.6,83,1015.9,11.8,0,203.7,,6.5
201805,제주도지역,18.9,227.5,80,1012,14.9,0,153.1,,2.5
201805,제주지역,19.1,98.8,76,1012.1,14.2,6.8,159.9,,2.9
201805,서귀포지역,18.7,356.1,84,1011.9,15.6,0,146.2,,2
201805,성산지역,17.9,151.8,80,1012.3,14,0,137.2,,3.4
201805,고산지역,17.9,256.7,87,1011.7,15.5,0,144.8,,0
201806,제주도지역,22.2,257.7,84,1008.1,19.1,0,130.7,,2.2
201806,제주지역,22.3,211.1,79,1008.4,18.3,6.5,187,,2.7
201806,서귀포지역,22,304.3,89,1007.7,19.8,0,74.4,,1.7
201806,성산지역,21.3,377.2,82,1008.6,17.8,0,156,,2.7
201806,고산지역,21.3,186.7,89,1008,19.1,0,208.8,,4.1
201807,제주도지역,27,36,87,1008.1,24.4,0,229.8,,2.3
201807,제주지역,27.3,48.7,81,1008.3,23.5,5.1,233.7,,2.7
201807,서귀포지역,26.7,23.2,93,1007.8,25.3,0,225.9,,1.8
201807,성산지역,26.2,41.8,83,1008.5,22.9,0,245.5,,2.9
201807,고산지역,26.5,20.8,89,1007.7,24.3,0,272.9,,4.9
201808,제주도지역,28.3,268.1,85,1006.5,25.2,0,237.1,,2.8
201808,제주지역,28.8,376.5,78,1006.6,24.3,5.1,245.7,,3.3
201808,서귀포지역,27.8,159.6,92,1006.4,26.1,0,228.4,,2.2
201808,성산지역,27.6,125,82,1007.1,24,0,254.7,,3.8
201808,고산지역,27.7,127.2,86,1006,25,0,297.6,,6
201809,제주도지역,23.7,330.8,80,1012.2,19.8,0,136.7,,2.4
201809,제주지역,23.9,187.7,75,1012.7,18.9,7.1,122.8,,2.8
201809,서귀포지역,23.5,473.8,85,1011.7,20.6,0,150.5,,2
201809,성산지역,23.1,521.8,77,1012.5,18.6,0,144.4,,3.2
201809,고산지역,23.4,136.6,82,1012.1,19.9,0,166.3,,5.1
201810,제주도지역,17.9,278.6,66.5,1018.2,11.2,0,199.6,,2.5
201810,제주지역,17.9,347,64,1018.8,10.7,5,174.8,,3.2
201810,서귀포지역,17.8,210.2,69,1017.5,11.7,0,224.3,,1.8
201810,성산지역,16.6,184.2,68,1018.4,10.2,0,219.7,,3.1
201810,고산지역,17.6,121.2,71,1018.2,12,0,220.6,,6.7
201811,제주도지역,14.2,42.1,68,1022.5,8.1,0,163.4,,2.1
201811,제주지역,13.9,28.6,65,1023.1,7.1,4.8,161.4,,2.6
201811,서귀포지역,14.5,55.6,71,1021.9,9.1,0,165.3,,1.6
201811,성산지역,13,45.9,68,1022.7,7,0,184.5,,2.5
201811,고산지역,14,42.1,72,1022.5,8.7,0,190.4,,5.4
201812,제주도지역,9.3,70.8,70,1025.6,3.8,0,88.2,,2.6
201812,제주지역,8.7,96,68,1026.6,2.8,7.8,61.9,,3.6
201812,서귀포지역,9.8,45.6,72,1024.5,4.7,0,114.4,,1.5
201812,성산지역,7.9,57.3,67,1025.9,1.9,0,121.6,,2.9
201812,고산지역,8.7,55,72,1025.5,3.6,0,89.7,,7.9
201901,제주도지역,7.1,23,65,1025.4,0.8,5.9,136.6,,2.4
201901,제주지역,6.4,24.2,64,1026.5,0,6.5,97.5,,3.3
201901,서귀포지역,7.8,21.7,66,1024.3,1.5,5.3,175.6,,1.4
201901,성산지역,5.8,16.2,63,1025.6,1,5.8,160.7,,3.2
201901,고산지역,6.4,17.4,69,1025.7,1,6.6,153.1,,8.1
201902,제주도지역,8.4,37.8,65,1023,1.9,6.8,127.8,,2.3
201902,제주지역,7.4,37.9,63,1024.1,0.5,7,110.9,,3
201902,서귀포지역,9.3,37.7,67,1021.9,3.2,6.5,144.7,,1.6
201902,성산지역,7,77.4,62,1023.1,0.1,7.1,139.6,,3.4
201902,고산지역,7.1,34.1,70,1023.2,1.7,7.1,127.9,,6.7
201903,제주도지역,11.2,60.2,63,1018,3.9,5.4,200.3,,2.7
201903,제주지역,10.8,55.5,63,1018.7,3.5,5.5,187.6,,3.5
201903,서귀포지역,11.6,64.8,63,1017.3,4.3,5.2,213,,1.9
201903,성산지역,10.2,133.5,62,1018.1,2.9,5.5,198.7,,3.5
201903,고산지역,10.2,46,72,1018.1,5,5.3,206.6,,6.1
201904,제주도지역,14.9,67.8,72,1015.1,9.3,5.5,198.4,,2.4
201904,제주지역,14.7,46.4,68,1015.4,8.4,5.4,196.1,,3
201904,서귀포지역,15,89.2,76,1014.7,10.1,5.5,200.6,,1.7
201904,성산지역,13.9,132.5,69,1015.3,7.5,5.8,193.3,,2.8
201904,고산지역,13.8,27.9,77,1015,9.5,5.5,202.9,,4
201905,제주도지역,20,209.8,61,1012.6,11.1,5.5,259.8,,2.3
201905,제주지역,20,42.8,56,1012.9,9.8,5.4,262.3,,3
201905,서귀포지역,19.9,376.7,66,1012.2,12.4,5.5,257.3,,1.6
201905,성산지역,18.7,247.3,62,1012.7,10,5.5,268.7,,3
201905,고산지역,18,122.6,77,1012.6,13.5,5.6,267.2,,3.6
201906,제주도지역,21.6,167.5,84.5,1007.6,18.6,6.2,201.9,,2.1
201906,제주지역,21.5,145.8,80,1007.7,17.6,6.2,194.3,,2.6
201906,서귀포지역,21.7,189.1,89,1007.4,19.5,6.2,209.5,,1.6
201906,성산지역,20.9,170.2,80,1007.6,17,6.3,196.8,,2.6
201906,고산지역,20.5,172.9,90,1007.4,18.7,6,207,,2.3
201907,제주도지역,24.7,481.1,91,1006.6,22.9,7.5,145.2,,2.3
201907,제주지역,25.2,510.1,85,1006.5,22.2,6.9,175.1,,2.6
201907,서귀포지역,24.2,452.1,97,1006.7,23.6,8,115.3,,1.9
201907,성산지역,24.1,516.5,87,1006.8,21.6,6.9,134.1,,3.5
201907,고산지역,23.9,191.3,95,1006.2,22.9,6.9,139.9,,2.5
201908,제주도지역,27.4,279.8,85,1007.1,24.4,6.2,187.7,,2.3
201908,제주지역,27.7,242.3,77,1007.1,23.1,6.2,176.5,,2.8
201908,서귀포지역,27.1,317.3,93,1007,25.7,6.1,198.8,,1.7
201908,성산지역,26.7,377.4,81,1007.2,22.9,6,212.3,,2.7
201908,고산지역,26.8,321.5,87,1006.7,24.2,6,225.3,,4.9
201909,제주도지역,24.1,502.8,88,1012.9,21.6,6.8,136.3,,2.6
201909,제주지역,24,610.6,84,1013.2,20.8,7,120.9,,2.9
201909,서귀포지역,24.1,394.9,92,1012.5,22.4,6.6,151.6,,2.3
201909,성산지역,23.9,613.3,82,1013.1,20.4,6.8,144.9,,3.6
201909,고산지역,23.6,400.1,88,1012.4,21.4,6.3,180.2,,5.3
201910,제주도지역,19.9,169.6,73.5,1017.8,14.6,4.8,199.5,,2.5
201910,제주지역,19.7,188.6,69,1018.3,13.6,5.3,160.7,,2.9
201910,서귀포지역,20,150.6,78,1017.3,15.6,4.3,238.3,,2
201910,성산지역,19.1,233.9,70,1017.8,13.2,5.2,217,,3.5
201910,고산지역,19.4,127.2,74,1017.5,14.3,4.9,221.7,,6.5
201911,제주도지역,15.1,29.4,70,1021.8,9.4,5,168.1,,2.4
201911,제주지역,14.6,27.5,65,1022.4,7.9,5.3,146.9,,3
201911,서귀포지역,15.6,31.3,75,1021.2,10.8,4.6,189.3,,1.8
201911,성산지역,13.9,36.2,67,1021.8,7.6,5.3,176.9,,3
201911,고산지역,14.6,16.1,71,1021.7,9.2,4.9,192.4,,7
201912,제주도지역,10.2,66.6,68.5,1024.7,4.5,6.8,113.5,,2.4
201912,제주지역,9.7,48.2,64,1025.4,3.1,7.1,81.1,,3.3
201912,서귀포지역,10.7,84.9,73,1023.9,5.9,6.4,145.9,,1.5
201912,성산지역,8.8,103.7,66,1024.8,2.6,6.9,144.6,,2.9
201912,고산지역,9.8,83.8,70,1024.5,4.3,7.3,111.8,,7.8
